date,vix,credit_pnl,price_pnl,better
2024-11-18,15.97,650.00,985.00,n=0.3
2024-11-19,16.81,-85.00,-540.00,credit
2024-11-20,18.61,64.00,64.00,credit
2024-11-21,16.80,625.00,335.00,credit
2024-11-22,16.34,1405.00,1405.00,credit
2024-11-25,14.80,-130.00,585.00,n=0.3
2024-11-26,14.21,400.00,400.00,credit
2024-11-27,14.20,110.00,485.00,n=0.3
2024-11-29,13.51,0.00,0.00,credit
2024-12-02,13.79,55.00,55.00,credit
2024-12-03,13.62,45.00,45.00,credit
2024-12-04,13.08,105.00,105.00,credit
2024-12-05,13.50,90.00,90.00,credit
2024-12-06,13.09,0.00,0.00,credit
2024-12-09,14.05,55.00,55.00,credit
2024-12-10,13.99,0.00,0.00,credit
2024-12-11,13.66,0.00,0.00,credit
2024-12-12,13.88,0.00,0.00,credit
2024-12-13,13.50,275.00,275.00,credit
2024-12-16,14.22,0.00,0.00,credit
2024-12-17,15.32,155.00,155.00,credit
2024-12-18,15.36,-2060.00,-5480.00,credit
2024-12-19,21.69,-395.00,850.00,n=0.3
2024-12-20,21.30,-1030.00,-3305.00,credit
2024-12-23,19.69,875.00,875.00,credit
2024-12-24,16.28,-190.00,-954.00,credit
2024-12-26,15.64,430.00,855.00,n=0.3
2024-12-27,17.88,285.00,285.00,credit
2024-12-30,18.47,145.00,1580.00,n=0.3
2024-12-31,17.12,-100.00,860.00,n=0.3
2025-01-02,17.02,-890.00,-2835.00,credit
2025-01-03,17.27,1280.00,1665.00,n=0.3
2025-01-06,15.90,-265.00,-1010.00,credit
2025-01-07,17.06,300.00,300.00,credit
2025-01-08,19.26,330.00,1570.00,n=0.3
2025-01-10,20.27,-215.00,315.00,n=0.3
2025-01-13,20.81,770.00,1516.00,n=0.3
2025-01-14,18.41,-980.00,-1740.00,credit
2025-01-15,16.52,1285.00,975.00,credit
2025-01-16,16.15,1200.00,1750.00,n=0.3
2025-01-17,15.71,835.00,1225.00,n=0.3
2025-01-21,15.73,920.00,920.00,credit
2025-01-22,15.00,495.00,495.00,credit
2025-01-23,14.86,-110.00,-1317.00,credit
2025-01-24,14.76,300.00,300.00,credit
2025-01-27,18.46,1165.00,1635.00,n=0.3
2025-01-28,17.31,-645.00,40.00,n=0.3
2025-01-29,16.64,-2080.00,1645.00,n=0.3
2025-01-30,15.74,-235.00,1480.00,n=0.3
2025-01-31,15.37,-1690.00,-5480.00,credit
2025-02-03,19.92,1175.00,230.00,credit
2025-02-04,17.42,750.00,1600.00,n=0.3
2025-02-05,17.01,360.00,614.00,n=0.3
2025-02-06,15.56,-875.00,785.00,n=0.3
2025-02-07,15.63,315.00,315.00,credit
2025-02-10,16.00,915.00,1295.00,n=0.3
2025-02-11,16.28,200.00,975.00,n=0.3
2025-02-12,16.78,165.00,-5.00,credit
2025-02-13,15.61,-665.00,-579.00,n=0.3
2025-02-14,14.95,1005.00,1005.00,credit
2025-02-18,15.87,465.00,465.00,credit
2025-02-19,15.82,25.00,-39.00,credit
2025-02-20,16.09,380.00,380.00,credit
2025-02-21,15.75,25.00,-540.00,credit
2025-02-24,18.87,288.00,131.00,credit
2025-02-25,20.69,-355.00,340.00,n=0.3
2025-02-26,18.27,-1125.00,-4620.00,credit
2025-02-27,19.17,320.00,320.00,credit
2025-02-28,20.29,-2415.00,-4127.00,credit
2025-03-03,20.88,0.00,-1010.00,credit
2025-03-04,25.36,-960.00,260.00,n=0.3
2025-03-05,23.49,-180.00,1060.00,n=0.3
2025-03-06,23.80,-470.00,1335.00,n=0.3
2025-03-07,24.16,265.00,770.00,n=0.3
2025-03-10,26.57,295.00,295.00,credit
2025-03-11,28.45,-335.00,555.00,n=0.3
2025-03-12,25.59,515.00,515.00,credit
2025-03-13,23.98,-100.00,825.00,n=0.3
2025-03-14,23.65,1095.00,1830.00,n=0.3
2025-03-17,20.89,235.00,-1380.00,credit
2025-03-18,22.29,300.00,300.00,credit
2025-03-19,20.71,-415.00,1575.00,n=0.3
2025-03-20,19.68,-460.00,-1330.00,credit
2025-03-21,20.46,-550.00,1505.00,n=0.3
2025-03-24,18.55,1120.00,1525.00,n=0.3
2025-03-25,17.37,450.00,1210.00,n=0.3
2025-03-26,17.60,-255.00,-1380.00,credit
2025-03-27,18.49,40.00,1605.00,n=0.3
2025-03-28,20.11,305.00,305.00,credit
2025-03-31,23.47,-390.00,-3935.00,credit
2025-04-01,23.41,-930.00,410.00,n=0.3
2025-04-02,22.46,-590.00,435.00,n=0.3
2025-04-03,27.74,290.00,290.00,credit
2025-04-04,37.97,280.00,280.00,credit
2025-04-07,43.00,835.00,3210.00,n=0.3
2025-04-08,36.88,-75.00,-3275.00,credit
2025-04-09,51.08,-5950.00,-13025.00,credit
2025-04-10,37.93,-135.00,540.00,n=0.3
2025-04-11,42.33,-145.00,1490.00,n=0.3
2025-04-14,32.17,80.00,535.00,n=0.3
2025-04-15,29.00,690.00,1585.00,n=0.3
2025-04-16,31.39,-805.00,-4365.00,credit
2025-04-17,31.10,955.00,1310.00,n=0.3
2025-04-21,33.08,300.00,300.00,credit
2025-04-22,30.75,-2250.00,-1390.00,n=0.3
2025-04-23,27.50,-465.00,1040.00,n=0.3
2025-04-24,27.24,1870.00,1870.00,credit
2025-04-25,26.23,-85.00,1530.00,n=0.3
2025-04-28,25.14,-580.00,190.00,n=0.3
2025-04-29,24.88,1305.00,1860.00,n=0.3
2025-04-30,26.79,1240.00,710.00,credit
2025-05-01,24.04,515.00,1605.00,n=0.3
2025-05-02,22.75,1215.00,1970.00,n=0.3
2025-05-05,23.75,1690.00,1690.00,credit
2025-05-06,24.54,-1090.00,610.00,n=0.3
2025-05-07,24.53,-375.00,1545.00,n=0.3
2025-05-08,23.28,-295.00,4.00,n=0.3
2025-05-09,21.92,30.00,600.00,n=0.3
2025-05-12,19.05,1005.00,912.00,credit
