combo_id,put_stop_buffer,min_put_credit,min_call_credit,one_sided_entries_enabled,fomc_t1_callonly_enabled,stop_buffer,entry_schedule,early_exit_time,train_net_pnl,train_sharpe,train_max_dd,train_win_rate,train_avg_net_per_day,train_stop_rate,train_total_entries,train_total_skipped,train_days,val_net_pnl,val_sharpe,val_max_dd,val_win_rate,val_avg_net_per_day,val_stop_rate,val_days
62,125,1.25,1.5,True,True,10,current,,72204.99971039593,1.6901717785329065,-20900.000425353646,60.863509749303624,100.5640664490194,26.48324623424531,3253,337,718,,,,,,,
122,200,1.25,1.5,True,True,10,current,,76894.99980129302,1.6586585097212825,-18489.99997511506,62.95264623955432,107.09610000180086,24.43897940362742,3253,337,718,,,,,,,
2,75,1.25,1.5,True,True,10,current,,65779.99996080995,1.653341635628484,-18540.000297501683,59.05292479108635,91.61559883121163,28.34306793728866,3253,337,718,,,,,,,
101,150,1.5,2.25,True,True,10,current,,76620.00118248165,1.6451322596508764,-16929.999793097377,61.00278551532033,106.71309356891594,25.847589424572316,3215,375,718,,,,,,,
92,150,1.25,1.5,True,True,10,current,,72189.99984242022,1.6390481688271963,-20150.00011190772,61.14206128133704,100.54317526799474,25.714724869351368,3253,337,718,,,,,,,
3,75,1.25,1.75,True,True,10,current,,66385.00082701445,1.630150432864886,-15069.999857991934,59.47075208913649,92.4582184220257,28.573624346756837,3253,337,718,,,,,,,
131,200,1.5,2.25,True,True,10,current,,81025.00129513443,1.6287236257910764,-16499.999353811145,61.6991643454039,112.84819121885018,24.618973561430792,3215,375,718,,,,,,,
64,125,1.25,2.0,True,True,10,current,,69545.00182405114,1.625382064058222,-12339.99983228743,60.16713091922006,96.85933401678432,27.113433753458345,3253,337,718,,,,,,,
33,100,1.25,1.75,True,True,10,current,,68255.00096924603,1.622521896175708,-14844.99979749322,60.724233983286915,95.06267544463235,27.651398708884106,3253,337,718,,,,,,,
35,100,1.25,2.25,True,True,10,current,,66360.0012883544,1.577722668781736,-10799.999914094806,59.610027855153206,92.42340012305627,27.98954810943744,3253,337,718,,,,,,,
65,125,1.25,2.25,True,True,10,current,,67510.00144168735,1.5674229934646549,-11044.99986834824,60.16713091922006,94.0250716458041,27.19028588994774,3253,337,718,,,,,,,
94,150,1.25,2.0,True,True,10,current,,69240.00203587115,1.5657825950352986,-13274.999683871865,61.28133704735376,96.43454322544729,26.40639409775592,3253,337,718,,,,,,,
95,150,1.25,2.25,True,True,10,current,,68555.00104755163,1.54548262109296,-12399.99969124794,62.39554317548747,95.48050285174322,26.437134952351677,3253,337,718,,,,,,,
63,125,1.25,1.75,True,True,10,current,,66905.000744313,1.5331485648339658,-14689.99986127019,61.28133704735376,93.18245229012953,26.975099907777437,3253,337,718,,,,,,,
93,150,1.25,1.75,True,True,10,current,,67680.00094346702,1.5169296595272197,-14649.999789074063,61.83844011142061,94.26183975413234,26.252689824777132,3253,337,718,,,,,,,
5,75,1.25,2.25,True,True,10,current,,60730.00115066767,1.4793962699864542,-12175.000233352184,58.63509749303621,84.58217430455107,29.03473716569321,3253,337,718,,,,,,,
